time,temperature,humidity
2019-10-29 13:00:01,77,60.0
2019-10-29 13:00:04,77,60.0
2019-10-29 13:00:07,77,60.0
2019-10-29 13:00:11,77,59.0
2019-10-29 13:00:14,77,59.0
2019-10-29 13:00:17,77,59.0
2019-10-29 13:00:28,77,58.0
2019-10-29 13:00:31,77,58.0
2019-10-29 13:00:34,77,58.0
2019-10-29 13:00:37,77,58.0
2019-10-29 13:00:40,77,58.0
2019-10-29 13:00:46,77,58.0
2019-10-29 13:00:49,77,58.0
2019-10-29 13:00:52,77,58.0
2019-10-29 13:00:58,77,58.0
2019-10-29 13:01:01,77,58.0
2019-10-29 13:01:04,77,58.0
2019-10-29 13:01:08,77,58.0
2019-10-29 13:01:11,77,58.0
2019-10-29 13:01:14,77,61.0
2019-10-29 13:01:17,77,61.0
2019-10-29 13:01:20,77,61.0
2019-10-29 13:01:26,77,59.0
2019-10-29 13:01:29,77,59.0
2019-10-29 13:01:32,77,59.0
2019-10-29 13:01:36,77,58.0
2019-10-29 13:01:39,77,58.0
2019-10-29 13:01:48,77,58.0
2019-10-29 13:01:51,77,58.0
2019-10-29 13:01:54,77,58.0
2019-10-29 13:01:58,77,58.0
2019-10-29 13:02:01,77,58.0
2019-10-29 13:02:04,77,58.0
2019-10-29 13:02:12,77,58.0
2019-10-29 13:02:15,77,58.0
2019-10-29 13:02:19,77,58.0
2019-10-29 13:02:22,77,58.0
2019-10-29 13:02:25,77,58.0
2019-10-29 13:02:31,77,58.0
2019-10-29 13:09:11,77,61.0
2019-10-29 13:09:14,77,59.0
2019-10-29 13:09:22,77,59.0
2019-10-29 13:09:26,77,59.0
2019-10-29 13:09:31,77,59.0
2019-10-29 13:09:37,77,58.0
2019-10-29 13:09:40,77,58.0
2019-10-29 13:09:43,77,59.0
2019-10-29 13:09:47,77,60.0
2019-10-29 13:09:50,77,59.0
2019-10-29 13:09:55,77,59.0
2019-10-29 13:09:59,77,59.0
2019-10-29 13:10:02,77,59.0
2019-10-29 13:10:05,77,59.0
2019-10-29 13:10:08,77,59.0
2019-10-29 13:10:11,77,58.0
2019-10-29 13:11:07,77,58.0
2019-10-29 13:11:11,77,58.0
2019-10-29 13:11:14,77,58.0
2019-10-29 13:11:17,77,58.0
2019-10-29 13:11:20,77,58.0
2019-10-29 13:11:23,77,58.0
2019-10-29 13:11:26,77,58.0
2019-10-29 13:11:32,77,58.0
2019-10-29 13:11:35,77,58.0
2019-10-29 13:11:38,77,58.0
2019-10-29 13:11:42,77,58.0
2019-10-29 13:11:45,77,58.0
2019-10-29 13:11:48,77,58.0
2019-10-29 13:11:51,77,58.0
2019-10-29 13:11:54,77,58.0
2019-10-29 13:11:58,77,58.0
2019-10-29 13:12:01,77,58.0
2019-10-29 13:12:04,77,58.0
2019-10-29 13:12:07,77,58.0
2019-10-29 13:12:10,77,58.0
2019-10-29 13:12:13,77,58.0
2019-10-29 13:12:17,77,58.0
2019-10-29 13:12:20,77,58.0
2019-10-29 13:12:23,77,58.0
2019-10-29 13:12:29,77,58.0
2019-10-29 13:12:34,77,58.0
2019-10-29 13:12:38,77,58.0
2019-10-29 13:12:41,77,58.0
2019-10-29 13:12:44,77,58.0
2019-10-29 13:12:47,77,58.0
2019-10-29 13:12:50,77,58.0
2019-10-29 13:12:53,77,58.0
2019-10-29 13:12:56,77,58.0
2019-10-29 13:13:00,77,58.0
2019-10-29 13:13:03,77,58.0
2019-10-29 13:13:06,77,58.0
2019-10-29 13:13:09,77,58.0
2019-10-29 13:13:15,77,58.0
2019-10-29 13:13:18,77,58.0
2019-10-29 13:13:21,77,58.0
2019-10-29 13:13:24,77,58.0
2019-10-29 13:13:27,77,58.0
2019-10-29 13:13:31,77,58.0
2019-10-29 13:13:34,77,58.0
2019-10-29 13:13:49,77,58.0
2019-10-29 13:13:52,77,58.0
2019-10-29 13:13:55,77,58.0
2019-10-29 13:13:58,77,58.0
2019-10-29 13:14:01,77,58.0
2019-10-29 13:14:04,77,58.0
2019-10-29 13:14:08,77,58.0
2019-10-29 13:14:11,77,58.0
2019-10-29 13:14:14,77,58.0
2019-10-29 13:14:17,77,58.0
2019-10-29 13:14:20,77,58.0
2019-10-29 13:14:23,77,58.0
2019-10-29 13:14:27,77,58.0
2019-10-29 13:14:30,77,58.0
2019-10-29 13:14:33,77,58.0
2019-10-29 13:14:36,77,58.0
2019-10-29 13:14:39,77,58.0
2019-10-29 13:14:42,77,58.0
2019-10-29 13:14:46,77,58.0
2019-10-29 13:14:49,77,58.0
2019-10-29 13:14:52,77,58.0
2019-10-29 13:14:55,77,58.0
2019-10-29 13:14:58,77,58.0
2019-10-29 13:15:01,77,58.0
2019-10-29 13:15:12,77,58.0
2019-10-29 13:15:15,77,58.0
2019-10-29 13:15:24,77,58.0
2019-10-29 13:15:27,77,58.0
2019-10-29 13:15:30,77,58.0
2019-10-29 13:15:33,77,58.0
2019-10-29 13:15:36,77,58.0
2019-10-29 13:15:39,77,58.0
2019-10-29 13:15:42,77,58.0
2019-10-29 13:15:46,77,58.0
2019-10-29 13:15:49,77,58.0
2019-10-29 13:15:52,77,58.0
2019-10-29 13:15:58,77,58.0
2019-10-29 13:16:03,77,58.0
2019-10-29 13:16:07,77,58.0
